lat,lon,elev,site_id
41.39257204,-123.47605,416,1
41.358195,-123.418551,514,2
41.34927398,-123.410655,408,3
41.295392,-123.369397,422,4
41.288935,-123.371652,427,5
41.29147204,-123.371253,381,6
41.28241003,-123.350073,447,7
41.27985002,-123.347451,437,8
41.28120303,-123.348808,445,9
41.277602,-123.343458,405,10
41.58386199,-123.5254,375,12
41.55467201,-123.53748,510,13
41.55344004,-123.539104,533,14
41.58507099,-123.522799,345,15
41.585014,-123.526083,464,16
41.583044,-123.528202,403,17
41.65442303,-123.293437,1047,18
41.66144203,-123.282948,1196,19
41.649745,-123.271858,1043,20
41.65507204,-123.283257,972,21
41.66826298,-123.333298,651,25
41.38877696,-123.485629,439,27
41.37695102,-123.453721,241,28
41.39065803,-123.478017,419,30
41.24497402,-123.325811,571,32
41.244612,-123.319813,673,33
41.24914301,-123.325018,493,34
41.252651,-123.322626,494,36
41.53920396,-123.519883,421,37
41.54229596,-123.507985,604,38
41.67005503,-123.336812,662,40
41.67832696,-123.346275,263,41
41.66455097,-123.370817,1014,42
41.66330801,-123.376841,1123,43
41.65820796,-123.380405,1148,44
41.66806499,-123.371474,1002,46
41.67276599,-123.340337,632,47
41.75510896,-123.354389,507,49
41.76002403,-123.3423767,655,51
41.767799,-123.349144,687,52
41.76745299,-123.3518,711,53
41.29341203,-123.369848,385,54
41.23535796,-123.280041,598,55
41.23075504,-123.283287,705,56
41.23252798,-123.2851,729,57
41.222954,-123.290046,869,58
41.34844501,-123.422575,674,59
41.35091004,-123.419919,632,60