,species,occ1,occ2,occ3,total_occ
1,AMRO,21,30,44,35
2,BHGR,82,73,68,82
3,BRCR,13,50,37,35
4,BTYW.HEWA,64,63,73,74
5,BUSH,18,13,0,11
6,CASJ,13,3,0,6
7,CAVI,56,53,63,64
8,CBCH,13,23,39,28
9,DEJU,28,40,56,46
10,HAFL,8,13,2,8
11,HAWO,41,30,29,37
12,HETH,5,10,15,11
13,HOWR,23,17,5,16
14,HUVI,18,20,39,29
15,LAZB,69,37,0,38
16,LEGO,18,3,2,9
17,MGWA,44,23,10,28
18,MOUQ,15,13,0,10
19,NAWA,67,63,32,58
20,NOFL,46,47,10,36
21,PAWR,0,7,10,6
22,PSFL,21,33,41,35
23,PUFI,31,13,10,20
24,RBNU,33,50,44,46
25,RBSA,13,23,17,19
26,SPTO,92,77,44,77
27,STJA,64,87,80,84
28,TOSO,10,17,5,11
29,WAVI,13,7,15,13
30,WETA,72,73,73,80
31,WEWP,46,27,5,28
32,WREN,28,10,0,14
33,XXHU,28,10,0,14