,species,UNLS_occ,HS_occ,MANAG_occ,MULT_occ,Rx_occ,total_occ,ratio
4,ACMO,0,5,6,9,0,7,0
8,Agoseris,0,5,12,12,11,13,0
46,Cirsium,0,5,6,9,0,7,0
105,MOOD,0,5,8,12,0,9,0
120,PHHA,0,5,18,18,17,19,0
148,SABI,0,5,8,12,0,9,0
152,Sidalcea,0,5,16,18,11,17,0
158,STLE,0,5,10,15,0,11,0
27,BREL,0,9,8,12,0,10,0
36,CASJ,0,9,10,15,0,12,0
53,CYGR,0,9,6,6,6,8,0
56,DIMU,0,9,6,9,0,8,0
62,EURA,0,9,4,3,6,6,0
106,MOUQ,0,9,20,27,6,22,0
150,SANIG,0,9,10,9,11,12,0
68,FRVE,0,14,10,3,22,13,0
80,HOCR,0,14,14,15,11,17,0
144,RUHU,0,14,12,12,11,15,0
22,BEWR,0,18,4,6,0,8,0
59,ERLA,0,18,24,18,33,28,0
25,BRCA,0,23,29,30,28,35,0
30,BUSH,0,23,16,15,17,21,0
54,DAPU,0,23,4,6,0,9,0
153,SILX,0,23,2,3,0,7,0
89,LEGO,0,27,14,18,6,20,0
174,WEWP,0,27,49,45,56,56,0
176,WREN,0,45,20,30,0,30,0
88,LAZB,0,50,59,73,33,71,0
97,Madia,3,55,65,67,61,79,0.04954955
155,SOPA,3,32,14,21,0,22,0.084942085
66,FEMI,3,27,35,42,22,43,0.099099099
178,XXHU,3,27,16,15,17,23,0.099099099
102,MGWA,5,50,39,27,61,53,0.108108108
3,ACMI,3,23,25,24,28,32,0.118918919
33,CAOC,3,23,27,36,11,34,0.118918919
82,HOWR,3,23,24,33,6,30,0.118918919
41,CHAN,3,18,20,24,11,25,0.148648649
47,Clarkia,3,18,16,18,11,21,0.148648649
20,ASPR,8,41,47,33,72,60,0.198198198
35,CAREX,3,14,4,3,6,8,0.198198198
6,ACWO,5,23,22,33,0,29,0.237837838
58,ELGL,14,55,43,30,67,61,0.247747748
135,PUFI,11,36,29,33,22,42,0.297297297
111,NOFL,14,45,51,39,72,67,0.297297297
12,AMAL,3,9,16,12,22,19,0.297297297
44,CHPO,3,9,8,12,0,11,0.297297297
123,PIAT,3,9,6,9,0,9,0.297297297
16,Arctostaphylos,8,27,22,21,22,31,0.297297297
138,QUGA,8,27,18,27,0,27,0.297297297
71,GAFR,5,18,4,6,0,10,0.297297297
149,SACR,5,18,12,18,0,18,0.297297297
145,RULE,19,50,25,24,28,44,0.378378378
147,RUUR,11,27,20,27,6,30,0.396396396
81,HODI,5,14,8,9,6,13,0.396396396
118,Peltigera,5,14,4,3,6,9,0.396396396
107,NAWA,27,64,76,73,78,101,0.424710425
39,CEIN,41,91,86,91,72,122,0.445945946
156,SPTO,41,91,84,88,72,120,0.445945946
151,SASC,14,27,31,21,50,43,0.495495495
169,VIAM,14,27,27,18,39,38,0.495495495
142,Ribes,30,59,49,48,50,74,0.503118503
50,COHE,19,36,51,48,56,67,0.52027027
75,HAFL,3,5,14,6,28,16,0.594594595
87,LANE,3,5,41,21,78,44,0.594594595
160,SYAL,3,5,4,6,0,6,0.594594595
177,Xanthomendoza,3,5,4,3,6,6,0.594594595
126,PIPO,22,36,53,48,56,69,0.594594595
100,MECA,32,55,55,58,50,80,0.594594595
94,Lupinus,5,9,10,3,22,14,0.594594595
172,WAVI,8,14,14,6,28,20,0.594594595
15,APAN,24,36,47,42,56,65,0.668918919
122,Physconia,16,23,20,12,28,30,0.713513514
146,RUPA,16,23,47,42,56,59,0.713513514
139,QUKE,57,73,53,45,61,90,0.780405405
24,BHGR,68,86,78,79,72,123,0.782361309
31,CADE,19,23,31,21,50,44,0.832432432
64,FECA,27,32,45,33,61,62,0.849420849
98,MANE,16,18,10,15,0,20,0.891891892
70,GABO,24,27,47,55,33,63,0.891891892
18,ARME,81,91,80,82,72,131,0.891891892
162,TODI,81,91,55,67,33,106,0.891891892
137,QUCH,78,86,75,85,56,124,0.907539118
95,LYLA,54,59,61,58,61,94,0.914760915
110,NODE,57,59,24,33,6,58,0.96049896
42,CHCH,14,14,12,3,28,20,0.990990991
134,PTAQ,38,36,45,39,56,68,1.040540541
143,ROGY,38,36,41,27,67,64,1.040540541
93,LOHI,65,59,35,45,17,73,1.097713098
29,BTYW,62,55,69,64,72,104,1.13963964
129,POCO,22,18,6,9,0,18,1.189189189
175,WHMO,22,18,8,12,0,20,1.189189189
101,Melanelixia,11,9,8,6,11,14,1.189189189
109,Nephroma,11,9,10,3,17,15,1.189189189
11,ALRH,5,5,6,9,0,9,1.189189189
19,ASHA,5,5,8,6,11,11,1.189189189
96,MAAQ,5,5,6,6,6,9,1.189189189
32,CAMU,16,14,37,36,39,47,1.189189189
171,Vulpicida,16,14,20,18,22,29,1.189189189
133,PSME,97,77,96,94,94,150,1.259141494
157,STJA,76,59,84,79,89,126,1.280665281
161,SYMO,30,23,53,45,67,70,1.308108108
173,WETA,76,55,84,82,83,125,1.387387387
141,RBSA,19,14,37,12,78,47,1.387387387
10,Alectoria,32,23,12,15,6,29,1.427027027
52,CONU,32,23,31,15,61,49,1.427027027
76,HAWO,32,23,47,45,44,64,1.427027027
49,COCO,46,32,45,45,44,70,1.444015444
132,PSFL,46,32,22,21,17,45,1.444015444
121,PHLE,14,9,4,3,6,11,1.486486486
2,ACMA,54,36,43,36,56,72,1.486486486
55,DEJU,49,32,47,24,83,72,1.528957529
13,AMRO,43,27,43,42,39,65,1.585585586
17,ARDI,22,14,29,27,28,40,1.585585586
84,Hypogymnia,84,50,63,45,89,105,1.675675676
131,PRHO,32,18,24,27,11,39,1.783783784
112,Normandina,8,5,4,3,0,7,1.783783784
125,Piperia,8,5,6,9,0,10,1.783783784
127,PIWO,8,5,6,6,6,10,1.783783784
37,CAVI,65,36,65,67,56,97,1.783783784
67,FEOC,49,27,53,42,72,78,1.783783784
79,HIAL,49,27,63,52,78,87,1.783783784
83,HUVI,43,23,22,24,17,43,1.902702703
85,Iris,59,27,65,58,78,94,2.18018018
130,POIM,59,27,43,45,39,72,2.18018018
73,GCKI,11,5,6,0,17,11,2.378378378
99,MARA,11,5,2,3,0,7,2.378378378
78,HEWA,32,14,14,12,17,29,2.378378378
116,Parmelia,32,14,16,15,17,31,2.378378378
90,Letharia,46,18,53,33,83,74,2.527027027
113,OSBE,35,14,43,33,61,60,2.576576577
28,Bryoria sp.,49,18,49,27,83,71,2.675675676
14,ANMAD,51,18,25,24,28,49,2.824324324
165,Tuckermanopsis,78,27,47,30,72,82,2.873873874
168,VAHE,14,5,6,9,0,12,2.972972973
86,Kaernefeltia,27,9,29,24,33,41,2.972972973
61,Esslingeriana,73,23,49,36,67,81,3.210810811
72,GATR,30,9,24,21,28,37,3.27027027
38,CBCH,46,14,24,12,39,43,3.369369369
128,Platismatia,46,14,16,15,17,36,3.369369369
167,Usnea,65,18,27,27,28,56,3.567567568
92,Lobaria,51,14,8,12,0,30,3.765765766
136,Pyrola,35,9,4,3,6,19,3.864864865
5,ACTR,19,5,14,21,0,22,4.162162162
26,BRCR,41,9,47,39,61,65,4.459459459
124,PILA,43,9,47,33,72,66,4.756756757
140,RBNU,46,9,61,42,89,80,5.054054054
9,Ahtiana,49,9,16,12,22,36,5.351351351
63,Evernia,30,5,16,21,6,28,6.540540541
1,ACAM,0,0,12,15,6,12,#DIV/0!
51,Collinsia,0,0,12,9,17,12,#DIV/0!
57,DRGL,0,0,10,3,22,10,#DIV/0!
60,ERNU,0,0,6,6,6,6,#DIV/0!
91,LIHE,0,0,6,0,17,6,#DIV/0!
103,MOCH,0,0,6,3,11,6,#DIV/0!
114,OZTR,0,0,6,0,17,6,#DIV/0!
119,Penstemon,0,0,10,3,22,10,#DIV/0!
179,YAMI,0,0,6,9,0,6,#DIV/0!
21,ATDI,3,0,6,0,17,7,#DIV/0!
23,BHCO,3,0,8,6,11,9,#DIV/0!
34,CAPR,3,0,8,0,22,9,#DIV/0!
40,CESA,3,0,6,0,17,7,#DIV/0!
48,CLPE,3,0,22,24,11,22,#DIV/0!
65,FEID,3,0,8,6,11,9,#DIV/0!
69,GABI,3,0,20,9,33,20,#DIV/0!
115,PAMY,3,0,8,0,22,9,#DIV/0!
154,SOGR,3,0,6,6,6,7,#DIV/0!
159,STXX,3,0,6,9,0,7,#DIV/0!
163,TOSO,3,0,22,9,44,23,#DIV/0!
104,MOMA,5,0,24,21,28,26,#DIV/0!
164,TRCA,5,0,25,12,50,28,#DIV/0!
43,CHME,11,0,8,3,17,12,#DIV/0!
108,Nemophila,11,0,27,15,44,31,#DIV/0!
117,PAWR,11,0,4,3,6,8,#DIV/0!
166,UMCA,11,0,8,12,0,12,#DIV/0!
77,HETH,16,0,10,0,28,16,#DIV/0!
74,GOOB,19,0,0,0,0,7,#DIV/0!
45,CHUM,24,0,12,3,28,21,#DIV/0!
170,VILO,24,0,22,18,28,31,#DIV/0!
7,ADBI,32,0,22,3,56,34,#DIV/0!